
url,label
http://example.com,0
https://www.bank.com/login,0
http://free-prize.click/win?uid=123,1
http://bit.ly/claim-reward,1
http://192.168.1.50:8081/admin,1
https://secure.example.org,0
http://tinyurl.com/redirect?target=login,1
http://download-free-software.com,1
https://docs.python.org,0
http://phishing-login.security-check.net,1
http://safe-site.org/about,0
http://offer-free-gift.win,1
http://malicious.evil-domain.ru,1
https://github.com,0
http://update-now-secure-check.com,1
https://news.bbc.co.uk,0
http://ip-addr-4.4.4.4/login,1
https://portal.university.edu,0
